Month,Price
01-10-97,726.04
01-11-97,709.24
01-12-97,670.29
01-01-98,590.36
01-02-98,548.67
01-03-98,518.29
01-04-98,535.33
01-05-98,566.42
01-06-98,527.25
01-07-98,539.88
01-08-98,533.82
01-09-98,586.79
01-10-98,561.49
01-11-98,503.44
01-12-98,442.99
01-01-99,486.29
01-02-99,456.56
01-03-99,558.89
01-04-99,678.06
01-05-99,686.90
01-06-99,707.02
01-07-99,822.01
01-08-99,880.95
01-09-99,988.32
01-10-99,953.82
01-11-99,1048.49
01-12-99,1091.47
01-01-00,1102.30
01-02-00,1187.14
01-03-00,1198.25
01-04-00,1024.21
01-05-00,1195.56
01-06-00,1323.75
01-07-00,1261.85
01-08-00,1336.94
01-09-00,1472.12
01-10-00,1455.51
01-11-00,1512.47
01-12-00,1178.11
01-01-01,1208.18
01-02-01,1267.18
01-03-01,1166.45
01-04-01,1203.33
01-05-01,1292.57
01-06-01,1267.73
01-07-01,1169.12
01-08-01,1216.80
01-09-01,1201.16
01-10-01,995.46
01-11-01,897.07
01-12-01,887.42
01-01-02,925.63
01-02-02,972.86
01-03-02,1152.20
01-04-02,1244.02
01-05-02,1257.83
01-06-02,1199.06
01-07-02,1255.67
01-08-02,1301.25
01-09-02,1369.92
01-10-02,1331.61
01-11-02,1184.18
01-12-02,1342.56
01-01-03,1473.85
01-02-03,1569.55
01-03-03,1446.38
01-04-03,1210.97
01-05-03,1226.99
01-06-03,1304.45
01-07-03,1321.85
01-08-03,1363.37
01-09-03,1232.46
01-10-03,1316.78
01-11-03,1325.54
01-12-03,1366.36
01-01-04,1425.74
01-02-04,1418.36
01-03-04,1515.65
01-04-04,1480.99
01-05-04,1699.29
01-06-04,1617.64
01-07-04,1744.59
01-08-04,1950.09
01-09-04,1917.68
01-10-04,2146.34
01-11-04,1900.58
01-12-04,1717.00
01-01-05,1880.23
01-02-05,1957.60
01-03-05,2225.57
01-04-05,2215.05
01-05-05,2080.20
01-06-05,2348.85
01-07-05,2454.20
01-08-05,2700.01
01-09-05,2709.21
01-10-05,2608.22
01-11-05,2516.77
01-12-05,2576.49
01-01-06,2773.13
01-02-06,2646.56
01-03-06,2709.89
01-04-06,3055.21
01-05-06,3118.70
01-06-06,3145.13
01-07-06,3365.75
01-08-06,3341.97
01-09-06,2865.03
01-10-06,2633.08
01-11-06,2607.99
01-12-06,2722.26
01-01-07,2373.05
01-02-07,2541.99
01-03-07,2667.95
01-04-07,2742.35
01-05-07,2658.01
01-06-07,2779.56
01-07-07,2974.64
01-08-07,2862.54
01-09-07,3096.50
01-10-07,3238.90
01-11-07,3602.45
01-12-07,3530.67
01-01-08,3570.71
01-02-08,3710.34
01-03-08,4109.92
01-04-08,4353.72
01-05-08,5165.85
01-06-08,5631.69
01-07-08,5689.98
01-08-08,4919.52
01-09-08,4540.91
01-10-08,3535.80
01-11-08,2644.71
01-12-08,2010.86
01-01-09,2142.12
01-02-09,2059.46
01-03-09,2391.75
01-04-09,2517.58
01-05-09,2822.25
01-06-09,3303.55
01-07-09,3137.00
01-08-09,3461.09
01-09-09,3310.80
01-10-09,3461.10
01-11-09,3611.43
01-12-09,3491.65
01-01-10,3541.88
01-02-10,3463.32
01-03-10,3607.99
01-04-10,3745.92
01-05-10,3461.17
01-06-10,3479.77
01-07-10,3495.72
01-08-10,3531.14
01-09-10,3504.32
01-10-10,3629.80
01-11-10,3793.46
01-12-10,4065.66
01-01-11,4206.66
01-02-11,4450.50
01-03-11,4888.11
01-04-11,5159.40
01-05-11,4851.80
01-06-11,4747.57
01-07-11,4793.30
01-08-11,4550.04
01-09-11,4811.93
01-10-11,4916.61
01-11-11,5343.29
01-12-11,5486.72
01-01-12,5484.92
01-02-12,5540.26
01-03-12,5927.55
01-04-12,5888.49
01-05-12,5655.94
01-06-12,5083.60
01-07-12,5372.19
01-08-12,5848.75
01-09-12,5798.48
01-10-12,5476.43
01-11-12,5536.01
01-12-12,5526.62
01-01-13,5708.32
01-02-13,5784.94
01-03-13,5575.84
01-04-13,5375.04
01-05-13,5468.66
01-06-13,5817.69
01-07-13,6292.38
01-08-13,6836.67
01-09-13,6926.83
01-10-13,6497.77
01-11-13,6435.78
01-12-13,6534.28
01-01-14,6344.00
01-02-14,6529.28
01-03-14,6343.00
01-04-14,6329.60
01-05-14,6273.13
01-06-14,6471.05
01-07-14,6320.51
01-08-14,6092.56
01-09-14,5835.69
01-10-14,5280.84
01-11-14,4748.53
01-12-14,3806.55
01-01-15,2927.20
01-02-15,3398.51
01-03-15,3299.23
01-04-15,3610.82
01-05-15,3988.78
01-06-15,3915.30
01-07-15,3458.51
01-08-15,2973.16
01-09-15,3064.43
01-10-15,3055.95
01-11-15,2847.43
01-12-15,2435.40
01-01-16,2004.00
01-02-16,2117.58
01-03-16,2503.95
01-04-16,2708.63
01-05-16,3072.75
01-06-16,3208.66
01-07-16,2966.28
01-08-16,3003.49
01-09-16,3006.05
01-10-16,3290.46
01-11-16,3056.29
01-12-16,3572.84
01-01-17,3649.89
01-02-17,3647.03
01-03-17,3355.09
01-04-17,3365.04
01-05-17,3213.83
01-06-17,2975.01
01-07-17,3071.23
01-08-17,3194.46
01-09-17,3413.19
01-10-17,3574.53
